,index,st_id,sale_time,subject,money
85,6,14,2020-02-27 06:02:15,math,1.5
86,3,39,2020-02-27 06:18:55,math,2.9
87,9,8,2020-02-27 06:35:35,math,0.7
88,5,30,2020-02-27 06:52:15,math,0.5
89,5,30,2020-02-27 07:08:55,math,0.7
90,3,39,2020-02-27 07:25:35,math,1.5
91,0,35,2020-02-27 07:42:15,math,3.0
92,2,19,2020-02-27 07:58:55,biology,3.0
93,5,30,2020-02-27 08:15:35,math,2.9
94,5,30,2020-02-27 08:32:15,math,2.9
95,2,19,2020-02-27 08:48:55,math,1.5
96,4,2,2020-02-27 09:05:35,math,0.5
97,2,19,2020-02-27 09:22:15,math,0.5
98,3,39,2020-02-27 09:38:55,math,1.5
99,7,31,2020-02-27 09:55:35,math,0.5
100,0,35,2020-02-27 10:12:15,math,2.9
101,6,14,2020-02-27 10:28:55,math,3.0
102,9,8,2020-02-27 10:45:35,math,2.9
103,4,2,2020-02-27 11:02:15,math,0.5
104,4,2,2020-02-27 11:18:55,math,2.9
105,3,39,2020-02-27 11:35:35,math,0.5
106,3,39,2020-02-27 11:52:15,math,0.5
107,3,39,2020-02-27 12:08:55,math,1.5
108,7,31,2020-02-27 12:25:35,math,1.5
109,3,39,2020-02-27 12:42:15,math,0.5
110,3,39,2020-02-27 12:58:55,biology,0.5
111,8,3,2020-02-27 13:15:35,math,1.5
112,7,31,2020-02-27 13:32:15,math,3.0
113,7,31,2020-02-27 13:48:55,math,0.7
114,9,8,2020-02-27 14:05:35,math,0.7
115,7,31,2020-02-27 14:22:15,math,0.7
116,9,8,2020-02-27 14:38:55,math,0.7
117,7,31,2020-02-27 14:55:35,biology,0.5
118,9,8,2020-02-27 15:12:15,math,0.5
119,4,2,2020-02-27 15:28:55,math,0.5
120,2,19,2020-02-27 15:45:35,math,0.5
121,3,39,2020-02-27 16:02:15,math,1.5
122,8,3,2020-02-27 16:18:55,biology,0.7
123,5,30,2020-02-27 16:35:35,math,0.5
124,3,39,2020-02-27 16:52:15,math,2.9
125,5,30,2020-02-27 17:08:55,math,0.5
126,2,19,2020-02-27 17:25:35,math,1.5
127,4,2,2020-02-27 17:42:15,biology,3.0
128,8,3,2020-02-27 17:58:55,math,0.5
129,0,35,2020-02-27 18:15:35,math,1.5
130,5,30,2020-02-27 18:32:15,math,0.5
131,2,19,2020-02-27 18:48:55,math,1.5
132,1,15,2020-02-27 19:05:35,math,0.7
133,2,19,2020-02-27 19:22:15,math,0.7
134,9,8,2020-02-27 19:38:55,math,2.9
135,4,2,2020-02-27 19:55:35,math,3.0
136,4,2,2020-02-27 20:12:15,math,2.9
137,8,3,2020-02-27 20:28:55,biology,2.9
138,4,2,2020-02-27 20:45:35,math,3.0
139,5,30,2020-02-27 21:02:15,math,0.5
140,2,19,2020-02-27 21:18:55,math,1.5
141,8,3,2020-02-27 21:35:35,math,1.5
142,4,2,2020-02-27 21:52:15,math,0.7
143,9,8,2020-02-27 22:08:55,math,2.9
144,4,2,2020-02-27 22:25:35,math,0.7
145,7,31,2020-02-27 22:42:15,math,0.7
146,5,30,2020-02-27 22:58:55,math,1.5
147,2,19,2020-02-27 23:15:35,math,0.7
148,8,3,2020-02-27 23:32:15,math,3.0
149,3,39,2020-02-27 23:48:55,biology,0.5
150,7,31,2020-02-28 00:05:35,math,0.5
151,4,2,2020-02-28 00:22:15,math,2.9
152,3,39,2020-02-28 00:38:55,math,2.9
153,9,8,2020-02-28 00:55:35,math,0.7
154,8,3,2020-02-28 01:12:15,math,2.9
155,5,30,2020-02-28 01:28:55,math,0.5
156,5,30,2020-02-28 01:45:35,math,3.0
157,9,8,2020-02-28 02:02:15,math,3.0
158,4,2,2020-02-28 02:18:55,biology,3.0
159,6,14,2020-02-28 02:35:35,math,1.5
160,2,19,2020-02-28 02:52:15,math,2.9
161,1,15,2020-02-28 03:08:55,math,3.0
162,5,30,2020-02-28 03:25:35,math,3.0
163,7,31,2020-02-28 03:42:15,math,3.0
164,3,39,2020-02-28 03:58:55,math,1.5
165,0,35,2020-02-28 04:15:35,math,1.5
166,8,3,2020-02-28 04:32:15,math,0.5
167,9,8,2020-02-28 04:48:55,math,1.5
168,9,8,2020-02-28 05:05:35,math,0.7
169,3,39,2020-02-28 05:22:15,math,1.5
170,4,2,2020-02-28 05:38:55,math,1.5
171,8,3,2020-02-28 05:55:35,biology,2.9
172,9,8,2020-02-28 06:12:15,math,0.5
173,1,15,2020-02-28 06:28:55,math,1.5
174,1,15,2020-02-28 06:45:35,math,1.5
175,4,2,2020-02-28 07:02:15,math,2.9
176,0,35,2020-02-28 07:18:55,biology,1.5
177,0,35,2020-02-28 07:35:35,math,0.7
178,6,14,2020-02-28 07:52:15,math,1.5
179,6,14,2020-02-28 08:08:55,math,1.5
180,9,8,2020-02-28 08:25:35,math,3.0
181,3,39,2020-02-28 08:42:15,math,1.5
182,6,14,2020-02-28 08:58:55,math,0.5
183,1,15,2020-02-28 09:15:35,math,3.0
184,1,15,2020-02-28 09:32:15,biology,3.0
185,6,14,2020-02-28 09:48:55,biology,2.9
186,0,35,2020-02-28 10:05:35,math,2.9
187,8,3,2020-02-28 10:22:15,math,0.7
188,3,39,2020-02-28 10:38:55,math,2.9
189,9,8,2020-02-28 10:55:35,math,0.5
190,6,14,2020-02-28 11:12:15,biology,0.5
191,5,30,2020-02-28 11:28:55,biology,2.9
192,5,30,2020-02-28 11:45:35,math,0.7
193,7,31,2020-02-28 12:02:15,math,2.9
194,3,39,2020-02-28 12:18:55,math,3.0
195,0,35,2020-02-28 12:35:35,math,0.5
196,8,3,2020-02-28 12:52:15,biology,0.7
197,6,14,2020-02-28 13:08:55,math,3.0
198,5,30,2020-02-28 13:25:35,math,0.7
199,6,14,2020-02-28 13:42:15,biology,0.5
200,8,3,2020-02-28 13:58:55,math,0.5
201,1,15,2020-02-28 14:15:35,math,3.0
202,1,15,2020-02-28 14:32:15,math,0.5
203,7,31,2020-02-28 14:48:55,math,0.7
204,7,31,2020-02-28 15:05:35,biology,0.7
205,7,31,2020-02-28 15:22:15,math,0.5
206,6,14,2020-02-28 15:38:55,math,1.5
207,5,30,2020-02-28 15:55:35,math,1.5
208,2,19,2020-02-28 16:12:15,biology,0.7
209,5,30,2020-02-28 16:28:55,math,1.5
210,1,15,2020-02-28 16:45:35,math,1.5
211,5,30,2020-02-28 17:02:15,math,1.5
212,7,31,2020-02-28 17:18:55,math,0.5
213,8,3,2020-02-28 17:35:35,biology,0.5
214,4,2,2020-02-28 17:52:15,math,0.5
215,1,15,2020-02-28 18:08:55,math,0.5
216,4,2,2020-02-28 18:25:35,math,3.0
217,0,35,2020-02-28 18:42:15,math,0.7
218,2,19,2020-02-28 18:58:55,math,3.0
219,2,19,2020-02-28 19:15:35,math,2.9
220,9,8,2020-02-28 19:32:15,math,1.5
221,7,31,2020-02-28 19:48:55,math,3.0
222,0,35,2020-02-28 20:05:35,math,2.9
223,8,3,2020-02-28 20:22:15,math,2.9
224,6,14,2020-02-28 20:38:55,math,0.5
225,5,30,2020-02-28 20:55:35,math,0.5
226,6,14,2020-02-28 21:12:15,math,1.5
227,4,2,2020-02-28 21:28:55,math,1.5
228,9,8,2020-02-28 21:45:35,biology,0.7
229,4,2,2020-02-28 22:02:15,biology,3.0
230,9,8,2020-02-28 22:18:55,biology,3.0
231,6,14,2020-02-28 22:35:35,math,2.9
232,6,14,2020-02-28 22:52:15,math,0.7
233,2,19,2020-02-28 23:08:55,biology,1.5
234,4,2,2020-02-28 23:25:35,math,0.5
235,7,31,2020-02-28 23:42:15,math,2.9
236,7,31,2020-02-28 23:58:55,biology,2.9
237,9,8,2020-02-29 00:15:35,math,0.5
238,1,15,2020-02-29 00:32:15,math,0.7
239,9,8,2020-02-29 00:48:55,math,0.7
240,0,35,2020-02-29 01:05:35,math,2.9
241,3,39,2020-02-29 01:22:15,math,1.5
242,1,15,2020-02-29 01:38:55,math,1.5
243,4,2,2020-02-29 01:55:35,math,3.0
244,0,35,2020-02-29 02:12:15,math,0.5
245,8,3,2020-02-29 02:28:55,math,0.7
246,9,8,2020-02-29 02:45:35,math,0.5
247,2,19,2020-02-29 03:02:15,math,1.5
248,9,8,2020-02-29 03:18:55,math,1.5
249,1,15,2020-02-29 03:35:35,biology,3.0
250,9,8,2020-02-29 03:52:15,math,0.7
251,3,39,2020-02-29 04:08:55,math,0.7
252,2,19,2020-02-29 04:25:35,math,0.7
253,7,31,2020-02-29 04:42:15,math,0.5
254,6,14,2020-02-29 04:58:55,math,1.5
255,0,35,2020-02-29 05:15:35,math,3.0
256,1,15,2020-02-29 05:32:15,math,0.5
257,2,19,2020-02-29 05:48:55,math,3.0
258,6,14,2020-02-29 06:05:35,math,3.0
259,9,8,2020-02-29 06:22:15,math,0.5
260,8,3,2020-02-29 06:38:55,math,0.7
261,4,2,2020-02-29 06:55:35,math,0.5
262,2,19,2020-02-29 07:12:15,math,0.5
263,0,35,2020-02-29 07:28:55,math,0.7
264,4,2,2020-02-29 07:45:35,math,1.5
265,5,30,2020-02-29 08:02:15,math,3.0
266,5,30,2020-02-29 08:18:55,math,1.5
267,4,2,2020-02-29 08:35:35,math,2.9
268,4,2,2020-02-29 08:52:15,math,1.5
269,9,8,2020-02-29 09:08:55,math,3.0
270,2,19,2020-02-29 09:25:35,math,0.7
271,8,3,2020-02-29 09:42:15,biology,1.5
272,9,8,2020-02-29 09:58:55,biology,0.7
273,0,35,2020-02-29 10:15:35,math,0.7
274,0,35,2020-02-29 10:32:15,math,0.5
275,5,30,2020-02-29 10:48:55,math,1.5
276,6,14,2020-02-29 11:05:35,math,2.9
277,8,3,2020-02-29 11:22:15,math,2.9
278,6,14,2020-02-29 11:38:55,math,1.5
279,5,30,2020-02-29 11:55:35,math,0.5
280,7,31,2020-02-29 12:12:15,math,1.5
281,9,8,2020-02-29 12:28:55,math,3.0
282,1,15,2020-02-29 12:45:35,math,2.9
283,5,30,2020-02-29 13:02:15,biology,3.0
284,2,19,2020-02-29 13:18:55,math,3.0
285,5,30,2020-02-29 13:35:35,math,2.9
286,8,3,2020-02-29 13:52:15,math,0.5
287,8,3,2020-02-29 14:08:55,math,0.7
288,9,8,2020-02-29 14:25:35,math,1.5
289,6,14,2020-02-29 14:42:15,math,3.0
290,9,8,2020-02-29 14:58:55,math,0.7
291,7,31,2020-02-29 15:15:35,math,0.7
292,6,14,2020-02-29 15:32:15,math,2.9
293,8,3,2020-02-29 15:48:55,math,3.0
294,6,14,2020-02-29 16:05:35,math,2.9
295,2,19,2020-02-29 16:22:15,math,2.9
296,8,3,2020-02-29 16:38:55,math,2.9
297,6,14,2020-02-29 16:55:35,math,3.0
298,3,39,2020-02-29 17:12:15,biology,0.5
299,3,39,2020-02-29 17:28:55,math,1.5
300,6,14,2020-02-29 17:45:35,math,0.5
301,2,19,2020-02-29 18:02:15,math,3.0
302,3,39,2020-02-29 18:18:55,math,2.9
303,5,30,2020-02-29 18:35:35,math,2.9
304,1,15,2020-02-29 18:52:15,math,0.5
305,9,8,2020-02-29 19:08:55,math,1.5
306,2,19,2020-02-29 19:25:35,math,2.9
307,1,15,2020-02-29 19:42:15,math,0.5
308,0,35,2020-02-29 19:58:55,math,1.5
309,6,14,2020-02-29 20:15:35,math,3.0
310,4,2,2020-02-29 20:32:15,math,2.9
311,8,3,2020-02-29 20:48:55,math,0.7
312,9,8,2020-02-29 21:05:35,math,0.7
313,6,14,2020-02-29 21:22:15,math,3.0
314,3,39,2020-02-29 21:38:55,math,0.5
315,3,39,2020-02-29 21:55:35,math,0.5
316,3,39,2020-02-29 22:12:15,biology,0.5
317,1,15,2020-02-29 22:28:55,math,0.7
318,5,30,2020-02-29 22:45:35,math,2.9
319,3,39,2020-02-29 23:02:15,biology,3.0
320,8,3,2020-02-29 23:18:55,math,1.5
321,0,35,2020-02-29 23:35:35,math,2.9
322,2,19,2020-02-29 23:52:15,math,2.9
323,2,19,2020-03-01 00:08:55,math,0.5
324,8,3,2020-03-01 00:25:35,math,0.5
325,6,14,2020-03-01 00:42:15,math,3.0
326,1,15,2020-03-01 00:58:55,math,3.0
327,6,14,2020-03-01 01:15:35,math,0.7
328,2,19,2020-03-01 01:32:15,math,1.5
329,8,3,2020-03-01 01:48:55,math,3.0
330,2,19,2020-03-01 02:05:35,math,2.9
331,0,35,2020-03-01 02:22:15,math,1.5
332,5,30,2020-03-01 02:38:55,math,0.5
333,2,19,2020-03-01 02:55:35,math,0.5
334,6,14,2020-03-01 03:12:15,math,0.5
335,0,35,2020-03-01 03:28:55,math,0.7
336,9,8,2020-03-01 03:45:35,math,3.0
337,1,15,2020-03-01 04:02:15,biology,1.5
338,8,3,2020-03-01 04:18:55,math,0.5
339,3,39,2020-03-01 04:35:35,math,2.9
340,5,30,2020-03-01 04:52:15,math,2.9
341,8,3,2020-03-01 05:08:55,math,3.0
342,6,14,2020-03-01 05:25:35,math,2.9
343,4,2,2020-03-01 05:42:15,math,3.0
344,8,3,2020-03-01 05:58:55,biology,1.5
345,9,8,2020-03-01 06:15:35,math,0.7
346,6,14,2020-03-01 06:32:15,math,2.9
347,0,35,2020-03-01 06:48:55,biology,0.5
348,4,2,2020-03-01 07:05:35,math,0.7
349,6,14,2020-03-01 07:22:15,math,3.0
350,2,19,2020-03-01 07:38:55,math,1.5
351,7,31,2020-03-01 07:55:35,math,2.9
352,3,39,2020-03-01 08:12:15,math,2.9
353,7,31,2020-03-01 08:28:55,math,1.5
354,3,39,2020-03-01 08:45:35,math,3.0
355,6,14,2020-03-01 09:02:15,math,2.9
356,8,3,2020-03-01 09:18:55,math,0.7
357,6,14,2020-03-01 09:35:35,math,0.7
358,8,3,2020-03-01 09:52:15,math,1.5
359,2,19,2020-03-01 10:08:55,math,0.7
360,2,19,2020-03-01 10:25:35,math,0.7
361,2,19,2020-03-01 10:42:15,biology,3.0
362,8,3,2020-03-01 10:58:55,math,3.0
363,1,15,2020-03-01 11:15:35,math,0.7
364,7,31,2020-03-01 11:32:15,math,3.0
365,1,15,2020-03-01 11:48:55,math,2.9
366,5,30,2020-03-01 12:05:35,math,0.5
367,2,19,2020-03-01 12:22:15,math,2.9
368,9,8,2020-03-01 12:38:55,math,0.7
369,6,14,2020-03-01 12:55:35,math,1.5
370,8,3,2020-03-01 13:12:15,math,2.9
371,8,3,2020-03-01 13:28:55,math,3.0
372,4,2,2020-03-01 13:45:35,math,0.7
373,9,8,2020-03-01 14:02:15,math,0.7
374,3,39,2020-03-01 14:18:55,math,2.9
375,3,39,2020-03-01 14:35:35,math,1.5
376,5,30,2020-03-01 14:52:15,math,3.0
377,3,39,2020-03-01 15:08:55,math,0.7
378,5,30,2020-03-01 15:25:35,math,0.5
379,9,8,2020-03-01 15:42:15,math,1.5
380,9,8,2020-03-01 15:58:55,math,0.7
381,3,39,2020-03-01 16:15:35,math,2.9
382,1,15,2020-03-01 16:32:15,math,0.5
383,7,31,2020-03-01 16:48:55,math,3.0
384,0,35,2020-03-01 17:05:35,math,1.5
385,6,14,2020-03-01 17:22:15,math,2.9
386,5,30,2020-03-01 17:38:55,math,1.5
387,9,8,2020-03-01 17:55:35,biology,0.5
388,7,31,2020-03-01 18:12:15,math,1.5
389,3,39,2020-03-01 18:28:55,math,0.7
390,5,30,2020-03-01 18:45:35,math,3.0
391,7,31,2020-03-01 19:02:15,math,3.0
392,7,31,2020-03-01 19:18:55,math,2.9
393,2,19,2020-03-01 19:35:35,biology,3.0
394,2,19,2020-03-01 19:52:15,math,1.5
395,8,3,2020-03-01 20:08:55,math,3.0
396,4,2,2020-03-01 20:25:35,math,0.5
397,6,14,2020-03-01 20:42:15,math,3.0
398,1,15,2020-03-01 20:58:55,math,3.0
399,4,2,2020-03-01 21:15:35,math,1.5
400,6,14,2020-03-01 21:32:15,math,3.0
401,6,14,2020-03-01 21:48:55,math,0.5
402,4,2,2020-03-01 22:05:35,math,0.5
403,0,35,2020-03-01 22:22:15,biology,2.9
404,6,14,2020-03-01 22:38:55,math,0.7
405,5,30,2020-03-01 22:55:35,math,0.7
406,3,39,2020-03-01 23:12:15,math,0.7
407,3,39,2020-03-01 23:28:55,math,2.9
408,3,39,2020-03-01 23:45:35,math,2.9
409,2,19,2020-03-02 00:02:15,math,3.0
410,1,15,2020-03-02 00:18:55,math,3.0
411,5,30,2020-03-02 00:35:35,math,2.9
412,6,14,2020-03-02 00:52:15,math,0.7
413,7,31,2020-03-02 01:08:55,math,1.5
414,8,3,2020-03-02 01:25:35,math,0.5
415,1,15,2020-03-02 01:42:15,math,3.0
416,2,19,2020-03-02 01:58:55,math,3.0
417,7,31,2020-03-02 02:15:35,biology,3.0
418,5,30,2020-03-02 02:32:15,math,2.9
419,5,30,2020-03-02 02:48:55,math,1.5
420,7,31,2020-03-02 03:05:35,math,1.5
421,0,35,2020-03-02 03:22:15,biology,2.9
422,7,31,2020-03-02 03:38:55,math,0.5
423,5,30,2020-03-02 03:55:35,math,0.5
424,8,3,2020-03-02 04:12:15,math,0.7
425,5,30,2020-03-02 04:28:55,math,1.5
426,4,2,2020-03-02 04:45:35,math,0.7
427,2,19,2020-03-02 05:02:15,biology,0.7
428,2,19,2020-03-02 05:18:55,math,0.7
429,0,35,2020-03-02 05:35:35,math,1.5
430,9,8,2020-03-02 05:52:15,math,0.5
431,8,3,2020-03-02 06:08:55,math,1.5
432,2,19,2020-03-02 06:25:35,math,1.5
433,8,3,2020-03-02 06:42:15,math,1.5
434,1,15,2020-03-02 06:58:55,math,0.7
435,4,2,2020-03-02 07:15:35,math,1.5
436,8,3,2020-03-02 07:32:15,math,0.7
437,9,8,2020-03-02 07:48:55,math,0.7
438,6,14,2020-03-02 08:05:35,math,1.5
439,8,3,2020-03-02 08:22:15,math,0.7
440,4,2,2020-03-02 08:38:55,math,0.7
441,0,35,2020-03-02 08:55:35,math,2.9
442,2,19,2020-03-02 09:12:15,math,3.0
443,4,2,2020-03-02 09:28:55,math,2.9
444,9,8,2020-03-02 09:45:35,math,0.7
445,0,35,2020-03-02 10:02:15,biology,0.7
446,3,39,2020-03-02 10:18:55,math,1.5
447,0,35,2020-03-02 10:35:35,math,1.5
448,7,31,2020-03-02 10:52:15,math,0.5
449,3,39,2020-03-02 11:08:55,math,3.0
450,1,15,2020-03-02 11:25:35,math,2.9
451,7,31,2020-03-02 11:42:15,math,0.5
452,0,35,2020-03-02 11:58:55,math,3.0
453,3,39,2020-03-02 12:15:35,math,2.9
454,8,3,2020-03-02 12:32:15,math,3.0
455,9,8,2020-03-02 12:48:55,math,2.9
456,0,35,2020-03-02 13:05:35,math,1.5
457,6,14,2020-03-02 13:22:15,math,0.7
458,1,15,2020-03-02 13:38:55,math,1.5
459,2,19,2020-03-02 13:55:35,math,0.5
460,4,2,2020-03-02 14:12:15,math,2.9
461,7,31,2020-03-02 14:28:55,math,0.7
462,7,31,2020-03-02 14:45:35,math,0.5
463,4,2,2020-03-02 15:02:15,math,2.9
464,0,35,2020-03-02 15:18:55,math,1.5
465,7,31,2020-03-02 15:35:35,math,1.5
466,2,19,2020-03-02 15:52:15,math,0.5
467,0,35,2020-03-02 16:08:55,math,2.9
468,5,30,2020-03-02 16:25:35,math,0.5
469,7,31,2020-03-02 16:42:15,math,1.5
470,1,15,2020-03-02 16:58:55,math,0.5
471,9,8,2020-03-02 17:15:35,math,0.5
472,8,3,2020-03-02 17:32:15,math,0.7
473,6,14,2020-03-02 17:48:55,math,2.9
474,0,35,2020-03-02 18:05:35,math,1.5
475,2,19,2020-03-02 18:22:15,math,0.5
476,1,15,2020-03-02 18:38:55,math,3.0
477,2,19,2020-03-02 18:55:35,math,1.5
478,3,39,2020-03-02 19:12:15,math,3.0
479,3,39,2020-03-02 19:28:55,math,3.0
480,5,30,2020-03-02 19:45:35,math,0.7
481,5,30,2020-03-02 20:02:15,math,0.5
482,3,39,2020-03-02 20:18:55,math,1.5
483,6,14,2020-03-02 20:35:35,math,0.5
484,1,15,2020-03-02 20:52:15,math,0.7
485,1,15,2020-03-02 21:08:55,math,3.0
486,8,3,2020-03-02 21:25:35,math,1.5
487,3,39,2020-03-02 21:42:15,math,2.9
488,9,8,2020-03-02 21:58:55,math,0.5
489,0,35,2020-03-02 22:15:35,math,2.9
490,4,2,2020-03-02 22:32:15,math,1.5
491,7,31,2020-03-02 22:48:55,math,0.7
492,6,14,2020-03-02 23:05:35,math,0.7
493,0,35,2020-03-02 23:22:15,math,0.7
494,7,31,2020-03-02 23:38:55,math,2.9
495,6,14,2020-03-02 23:55:35,math,0.7
496,5,30,2020-03-03 00:12:15,math,0.5
497,3,39,2020-03-03 00:28:55,math,2.9
498,4,2,2020-03-03 00:45:35,math,0.5
499,9,8,2020-03-03 01:02:15,math,0.7
500,0,35,2020-03-03 01:18:55,math,3.0
501,9,8,2020-03-03 01:35:35,biology,0.5
502,4,2,2020-03-03 01:52:15,math,0.7
503,3,39,2020-03-03 02:08:55,math,2.9
504,0,35,2020-03-03 02:25:35,math,1.5
505,2,19,2020-03-03 02:42:15,math,0.7
506,2,19,2020-03-03 02:58:55,math,3.0
507,3,39,2020-03-03 03:15:35,biology,1.5
508,1,15,2020-03-03 03:32:15,math,0.5
509,6,14,2020-03-03 03:48:55,math,1.5
510,5,30,2020-03-03 04:05:35,math,3.0
511,9,8,2020-03-03 04:22:15,math,0.7
512,9,8,2020-03-03 04:38:55,math,0.7
513,3,39,2020-03-03 04:55:35,math,1.5
514,1,15,2020-03-03 05:12:15,math,0.5
515,9,8,2020-03-03 05:28:55,biology,1.5
516,1,15,2020-03-03 05:45:35,math,0.7
517,6,14,2020-03-03 06:02:15,math,3.0
518,7,31,2020-03-03 06:18:55,math,0.7
519,4,2,2020-03-03 06:35:35,math,0.5
520,5,30,2020-03-03 06:52:15,math,2.9
521,1,15,2020-03-03 07:08:55,math,2.9
522,1,15,2020-03-03 07:25:35,biology,3.0
523,1,15,2020-03-03 07:42:15,biology,0.7
524,4,2,2020-03-03 07:58:55,math,0.7
525,2,19,2020-03-03 08:15:35,math,1.5
526,9,8,2020-03-03 08:32:15,math,3.0
527,0,35,2020-03-03 08:48:55,math,1.5
528,0,35,2020-03-03 09:05:35,math,3.0
529,6,14,2020-03-03 09:22:15,math,0.7
530,2,19,2020-03-03 09:38:55,math,2.9
531,9,8,2020-03-03 09:55:35,math,3.0
532,8,3,2020-03-03 10:12:15,math,0.5
533,2,19,2020-03-03 10:28:55,math,2.9
534,7,31,2020-03-03 10:45:35,biology,1.5
535,1,15,2020-03-03 11:02:15,math,2.9
536,5,30,2020-03-03 11:18:55,math,3.0
537,9,8,2020-03-03 11:35:35,math,0.5
538,7,31,2020-03-03 11:52:15,math,1.5
539,9,8,2020-03-03 12:08:55,biology,3.0
540,7,31,2020-03-03 12:25:35,math,3.0
541,0,35,2020-03-03 12:42:15,math,0.5
542,1,15,2020-03-03 12:58:55,math,0.5
543,1,15,2020-03-03 13:15:35,math,3.0
544,2,19,2020-03-03 13:32:15,math,1.5
545,4,2,2020-03-03 13:48:55,math,0.7
546,0,35,2020-03-03 14:05:35,math,2.9
547,0,35,2020-03-03 14:22:15,math,2.9
548,4,2,2020-03-03 14:38:55,math,1.5
549,4,2,2020-03-03 14:55:35,math,1.5
550,8,3,2020-03-03 15:12:15,math,0.5
551,3,39,2020-03-03 15:28:55,math,0.5
552,8,3,2020-03-03 15:45:35,math,3.0
553,7,31,2020-03-03 16:02:15,math,1.5
554,9,8,2020-03-03 16:18:55,math,2.9
555,5,30,2020-03-03 16:35:35,math,3.0
